订单ID,订单日期,发货日期,配送方式,区域,省份,客户ID,客户名称,客户类型,产品类别,产品名称,单价,数量,折扣率,销售额,利润,利润率,销售员,支付方式
ORD-202400704,2024-07-22,2024-07-23,专线物流,华中,郑州,C01006,黄艳,企业客户,家居用品,加湿器,2632.88,37,0.05,92545.73,-8393.9,-0.0907,郑丽,货到付款
ORD-202500369,2024-07-22,2024-07-23,京东物流,华东,宁波,C01137,朱洋,个人消费者,服装鞋帽,围巾,839.04,17,0,14263.68,3167.96,0.2221,王芳,信用卡
ORD-202500814,2024-07-22,2024-07-26,标准快递,华北,青岛,C01121,周强,教育机构,服装鞋帽,运动鞋,160.54,13,0,2087.02,332.67,0.1594,郑丽,微信支付
ORD-202500924,2024-07-22,2024-07-28,京东物流,东北,沈阳,C01072,周强勇,企业客户,食品饮料,乳制品,151.06,12,0,1812.72,120.55,0.0665,郑丽,货到付款
ORD-202400657,2024-07-23,2024-07-25,京东物流,西北,乌鲁木齐,C01090,胡磊,政府机构,电子产品,智能手机,1207.18,48,0.1,52150.18,17053.11,0.327,孙磊,微信支付
ORD-202400864,2024-07-23,2024-07-24,顺丰速运,华东,苏州,C01025,李勇,个人消费者,电子产品,智能手机,2730.08,13,0,35491.04,-24.84,-0.0007,王芳,货到付款
ORD-202400962,2024-07-23,2024-07-24,自提,东北,沈阳,C01110,刘强磊,教育机构,食品饮料,坚果零食,106.42,45,0.05,4549.45,-0.91,-0.0002,孙磊,支付宝
ORD-202500426,2024-07-23,2024-07-25,标准快递,华北,济南,C01114,朱涛强,企业客户,家居用品,暖风机,1171.34,34,0.15,33851.73,-639.8,-0.0189,赵强,货到付款
ORD-202500409,2024-07-24,2024-07-26,标准快递,西南,成都,C01048,马洋涛,企业客户,食品饮料,坚果零食,24.54,15,0,368.1,101.19,0.2749,李华,货到付款
ORD-202400534,2024-07-25,2024-07-26,专线物流,华中,合肥,C01124,胡娜娟,教育机构,电子产品,移动电源,3887.17,33,0,128276.61,-1847.18,-0.0144,陈静,银行卡
ORD-202400872,2024-07-25,2024-07-27,顺丰速运,华中,长沙,C01085,朱静,教育机构,电子产品,笔记本电脑,7391.1,39,0.2,230602.32,53661.16,0.2327,陈静,银行卡
ORD-202400140,2024-07-26,2024-07-31,专线物流,西南,重庆,C01184,马勇磊,教育机构,家居用品,空气净化器,2567.82,29,0,74466.78,15347.6,0.2061,李华,信用卡
ORD-202400979,2024-07-27,2024-08-01,标准快递,西北,银川,C01123,吴丽娟,教育机构,家居用品,加湿器,718.22,47,0.15,28692.89,1890.86,0.0659,王芳,信用卡
ORD-202500177,2024-07-27,2024-07-30,标准快递,西南,贵阳,C01184,马勇磊,教育机构,食品饮料,饼干,27.86,30,0.1,752.22,235.52,0.3131,周伟,信用卡
ORD-202500329,2024-07-27,2024-07-30,标准快递,华中,郑州,C01121,周强,教育机构,办公用品,订书机,163.93,2,0.1,295.07,-25.73,-0.0872,王芳,货到付款
ORD-202400506,2024-07-28,2024-07-29,标准快递,华南,佛山,C01199,徐丽,政府机构,服装鞋帽,裤子,1391.33,30,0.05,39652.9,3663.93,0.0924,周伟,对公转账
ORD-202400821,2024-07-29,2024-08-02,自提,华南,广州,C01075,吴涛,政府机构,办公用品,打印纸,41.5,2,0.25,62.25,-3.0,-0.0482,郑丽,微信支付
ORD-202400874,2024-07-29,2024-08-03,专线物流,华东,宁波,C01098,徐勇磊,个人消费者,家居用品,扫地机器人,2071.43,47,0.05,92489.35,16056.15,0.1736,王芳,银行卡
ORD-202500350,2024-07-29,2024-08-02,标准快递,华南,福州,C01135,黄强敏,教育机构,办公用品,碎纸机,167.1,41,0,6851.1,920.1,0.1343,郑丽,货到付款
ORD-202500499,2024-07-29,2024-07-31,顺丰速运,东北,哈尔滨,C01161,陈伟洋,企业客户,家居用品,电风扇,2459.05,24,0.2,47213.76,-3564.64,-0.0755,刘洋,对公转账
ORD-202500516,2024-07-29,2024-08-05,标准快递,西北,银川,C01134,朱超丽,企业客户,电子产品,移动电源,3380.86,8,0.25,20285.16,2937.29,0.1448,张明,对公转账
ORD-202400596,2024-07-30,2024-08-01,顺丰速运,西北,乌鲁木齐,C01153,陈勇磊,个人消费者,服装鞋帽,裤子,853.46,12,0.3,7169.06,1514.82,0.2113,吴敏,货到付款
ORD-202500176,2024-07-30,2024-08-04,自提,东北,大连,C01002,赵娜,个人消费者,电子产品,耳机,7225.2,35,0.25,189661.5,49217.16,0.2595,陈静,支付宝
ORD-202400252,2024-07-31,2024-08-04,专线物流,华北,太原,C01179,黄洋,个人消费者,办公用品,碎纸机,64.36,11,0.1,637.16,173.24,0.2719,赵强,支付宝
ORD-202400519,2024-07-31,2024-08-01,京东物流,华南,深圳,C01155,朱洋芳,政府机构,电子产品,充电器,2824.71,10,0,28247.1,5652.24,0.2001,李华,银行卡
ORD-202500231,2024-07-31,2024-08-03,标准快递,西北,乌鲁木齐,C01009,杨芳静,政府机构,电子产品,耳机,6198.6,17,0.05,100107.39,11061.87,0.1105,王芳,对公转账
ORD-202500566,2024-07-31,2024-08-02,标准快递,华北,石家庄,C01121,周强,教育机构,食品饮料,茶叶,52.01,19,0.05,938.78,66.37,0.0707,郑丽,货到付款
ORD-202400466,2024-08-01,2024-08-07,京东物流,华中,武汉,C01107,周娜强,教育机构,食品饮料,乳制品,128.87,24,0.25,2319.66,544.19,0.2346,张明,货到付款
ORD-202500525,2024-08-01,2024-08-04,自提,华中,合肥,C01009,杨芳静,政府机构,服装鞋帽,裤子,1288.68,38,0,48969.84,10068.2,0.2056,陈静,银行卡
ORD-202400211,2024-08-02,2024-08-09,标准快递,西北,乌鲁木齐,C01053,杨娜敏,企业客户,服装鞋帽,围巾,884.93,40,0,35397.2,8962.57,0.2532,陈静,对公转账
ORD-202500323,2024-08-03,2024-08-04,自提,东北,哈尔滨,C01108,徐娟,政府机构,食品饮料,茶叶,103.22,30,0,3096.6,-299.44,-0.0967,陈静,支付宝
ORD-202400378,2024-08-04,2024-08-08,专线物流,西北,兰州,C01172,王娟,企业客户,家居用品,收纳盒,685.74,17,0.05,11074.7,-536.02,-0.0484,孙磊,支付宝
ORD-202400555,2024-08-04,2024-08-10,顺丰速运,华南,佛山,C01172,王娟,企业客户,家居用品,收纳盒,1679.6,24,0.15,34263.84,-1048.47,-0.0306,张明,微信支付
ORD-202400589,2024-08-04,2024-08-11,自提,西北,银川,C01037,孙洋,企业客户,服装鞋帽,运动鞋,1495.05,15,0,22425.75,-1870.31,-0.0834,张明,货到付款
ORD-202500005,2024-08-04,2024-08-09,专线物流,华东,南京,C01146,赵娜,企业客户,家居用品,电风扇,629.13,3,0.05,1793.02,37.83,0.0211,郑丽,支付宝
ORD-202500675,2024-08-04,2024-08-05,专线物流,华南,佛山,C01183,赵芳勇,企业客户,电子产品,智能手表,1872.59,11,0.1,18538.64,4100.75,0.2212,孙磊,货到付款
ORD-202500081,2024-08-05,2024-08-07,自提,华中,合肥,C01013,徐强涛,个人消费者,食品饮料,饼干,68.75,29,0.1,1794.38,119.15,0.0664,周伟,货到付款
ORD-202500720,2024-08-05,2024-08-06,专线物流,华南,深圳,C01112,马超,个人消费者,办公用品,笔记本,181.12,28,0.25,3803.52,561.4,0.1476,吴敏,支付宝
ORD-202500826,2024-08-05,2024-08-12,自提,华东,南京,C01014,朱强,教育机构,电子产品,充电器,6239.24,2,0,12478.48,4311.31,0.3455,陈静,支付宝
ORD-202500918,2024-08-05,2024-08-07,标准快递,华南,广州,C01001,徐芳伟,企业客户,电子产品,移动电源,979.94,12,0.05,11171.32,-233.48,-0.0209,孙磊,支付宝
ORD-202500541,2024-08-06,2024-08-08,专线物流,西北,银川,C01161,陈伟洋,企业客户,食品饮料,坚果零食,45.18,12,0.15,460.84,68.62,0.1489,王芳,支付宝
ORD-202500626,2024-08-06,2024-08-11,专线物流,西北,乌鲁木齐,C01046,王勇强,教育机构,电子产品,移动电源,1916.93,25,0.25,35942.44,8144.56,0.2266,赵强,货到付款
ORD-202500869,2024-08-06,2024-08-10,专线物流,西北,银川,C01083,李娟洋,个人消费者,电子产品,平板电脑,1533.31,16,0,24532.96,7686.18,0.3133,李华,对公转账
ORD-202400258,2024-08-07,2024-08-09,自提,华北,石家庄,C01076,胡杰,政府机构,食品饮料,咖啡,9.83,40,0.3,275.24,2.92,0.0106,孙磊,信用卡
ORD-202500807,2024-08-07,2024-08-11,标准快递,西北,乌鲁木齐,C01008,赵涛,个人消费者,家居用品,电风扇,2855.17,34,0.05,92221.99,-3799.55,-0.0412,陈静,微信支付
ORD-202500966,2024-08-07,2024-08-11,专线物流,华东,合肥,C01077,王超,政府机构,服装鞋帽,围巾,1945.99,19,0,36973.81,-2499.43,-0.0676,赵强,支付宝
ORD-202500161,2024-08-08,2024-08-12,专线物流,东北,沈阳,C01058,胡伟娜,个人消费者,家居用品,加湿器,2294.96,42,0,96388.32,31788.87,0.3298,郑丽,对公转账
ORD-202500305,2024-08-08,2024-08-13,专线物流,西南,贵阳,C01185,刘丽艳,政府机构,办公用品,打印纸,41.84,11,0.1,414.22,93.32,0.2253,张明,信用卡
ORD-202500715,2024-08-08,2024-08-13,标准快递,西南,南宁,C01020,朱伟涛,教育机构,家居用品,台灯,743.22,18,0.1,12040.16,626.09,0.052,张明,银行卡
ORD-202400224,2024-08-10,2024-08-11,顺丰速运,华东,杭州,C01036,张强,个人消费者,电子产品,耳机,5853.57,23,0.15,114437.29,4749.15,0.0415,李华,银行卡
ORD-202400476,2024-08-10,2024-08-16,专线物流,华东,宁波,C01025,李勇,个人消费者,办公用品,碎纸机,243.85,32,0.3,5462.24,1468.25,0.2688,刘洋,货到付款
ORD-202500500,2024-08-10,2024-08-15,自提,华东,南京,C01185,刘丽艳,政府机构,电子产品,笔记本电脑,6645.22,22,0.05,138885.1,17332.86,0.1248,陈静,货到付款
ORD-202400299,2024-08-11,2024-08-15,京东物流,华北,青岛,C01170,陈娟洋,政府机构,服装鞋帽,背包,1266.03,38,0,48109.14,-4652.15,-0.0967,郑丽,对公转账
ORD-202400421,2024-08-11,2024-08-16,顺丰速运,华北,天津,C01053,杨娜敏,企业客户,家居用品,加湿器,2219.22,16,0.05,33732.14,9873.4,0.2927,赵强,微信支付
ORD-202400919,2024-08-11,2024-08-18,自提,西北,兰州,C01038,李杰,政府机构,电子产品,平板电脑,5821.36,37,0,215390.32,44198.09,0.2052,王芳,信用卡
ORD-202500033,2024-08-11,2024-08-17,专线物流,华南,佛山,C01049,王芳杰,政府机构,服装鞋帽,背包,373.9,25,0.05,8880.12,502.61,0.0566,陈静,支付宝
ORD-202500971,2024-08-11,2024-08-17,自提,华南,厦门,C01101,孙涛静,个人消费者,办公用品,笔记本,292.62,24,0.05,6671.74,-605.79,-0.0908,周伟,信用卡
ORD-202400138,2024-08-12,2024-08-14,专线物流,华中,长沙,C01121,周强,教育机构,食品饮料,果汁,197.8,24,0.15,4035.12,871.18,0.2159,赵强,货到付款
ORD-202400263,2024-08-12,2024-08-17,京东物流,东北,长春,C01082,张静,政府机构,办公用品,碎纸机,495.81,12,0,5949.72,38.08,0.0064,张明,对公转账
ORD-202500941,2024-08-12,2024-08-18,顺丰速运,华北,太原,C01121,周强,教育机构,办公用品,打印纸,232.38,14,0,3253.32,82.31,0.0253,王芳,对公转账
ORD-202500085,2024-08-13,2024-08-19,专线物流,东北,哈尔滨,C01181,杨洋,企业客户,食品饮料,咖啡,36.69,14,0.1,462.29,86.26,0.1866,张明,银行卡
ORD-202500732,2024-08-13,2024-08-16,标准快递,西北,乌鲁木齐,C01073,胡静,企业客户,家居用品,电风扇,441.41,36,0,15890.76,4389.03,0.2762,周伟,银行卡
ORD-202500188,2024-08-14,2024-08-19,专线物流,华南,厦门,C01155,朱洋芳,政府机构,家居用品,扫地机器人,1887.1,40,0.3,52838.8,2557.4,0.0484,张明,支付宝
ORD-202500829,2024-08-15,2024-08-21,自提,西北,乌鲁木齐,C01104,陈磊芳,政府机构,电子产品,笔记本电脑,516.25,2,0.3,722.75,45.82,0.0634,吴敏,对公转账
ORD-202400307,2024-08-16,2024-08-22,标准快递,东北,哈尔滨,C01119,胡涛,教育机构,食品饮料,乳制品,177.71,24,0.1,3838.54,627.6,0.1635,张明,信用卡
ORD-202400386,2024-08-16,2024-08-23,顺丰速运,西南,昆明,C01003,吴磊,个人消费者,家居用品,加湿器,1518.34,6,0.15,7743.53,493.26,0.0637,王芳,对公转账
ORD-202400098,2024-08-17,2024-08-18,专线物流,华南,深圳,C01120,赵娜涛,个人消费者,家居用品,扫地机器人,1497.25,24,0.25,26950.5,4244.7,0.1575,郑丽,微信支付
ORD-202400356,2024-08-17,2024-08-23,自提,西北,银川,C01013,徐强涛,个人消费者,家居用品,电风扇,2359.39,45,0.1,95555.29,20238.61,0.2118,周伟,信用卡
ORD-202400544,2024-08-17,2024-08-19,自提,东北,哈尔滨,C01084,王芳,个人消费者,办公用品,签字笔,95.76,43,0.1,3705.91,945.01,0.255,张明,信用卡
ORD-202400907,2024-08-17,2024-08-22,自提,东北,沈阳,C01144,赵杰,个人消费者,办公用品,签字笔,455.53,48,0.15,18585.62,3611.19,0.1943,赵强,微信支付
ORD-202500147,2024-08-17,2024-08-19,标准快递,华中,长沙,C01090,胡磊,政府机构,食品饮料,饼干,13.3,20,0,266.0,38.22,0.1437,陈静,对公转账
ORD-202500737,2024-08-17,2024-08-18,自提,华东,宁波,C01030,王敏,教育机构,服装鞋帽,裤子,1220.77,25,0,30519.25,10660.37,0.3493,赵强,对公转账
ORD-202400155,2024-08-18,2024-08-21,顺丰速运,东北,大连,C01100,张芳艳,政府机构,食品饮料,矿泉水,113.79,27,0.25,2304.25,319.14,0.1385,赵强,银行卡
ORD-202500413,2024-08-18,2024-08-20,专线物流,西北,兰州,C01063,周超,个人消费者,办公用品,白板,361.98,2,0.2,579.17,-39.85,-0.0688,刘洋,对公转账
ORD-202500543,2024-08-18,2024-08-25,京东物流,华北,太原,C01172,王娟,企业客户,电子产品,移动电源,3483.37,21,0.15,62178.15,-5446.81,-0.0876,吴敏,信用卡
ORD-202500071,2024-08-19,2024-08-21,标准快递,华东,杭州,C01012,吴强,个人消费者,办公用品,碎纸机,451.93,1,0,451.93,7.64,0.0169,刘洋,支付宝
ORD-202500075,2024-08-19,2024-08-20,自提,华北,石家庄,C01020,朱伟涛,教育机构,电子产品,平板电脑,4490.2,16,0.05,68251.04,14517.0,0.2127,赵强,支付宝
ORD-202500228,2024-08-19,2024-08-26,京东物流,华南,东莞,C01126,徐强敏,个人消费者,家居用品,收纳盒,2938.46,17,0.2,39963.06,759.3,0.019,陈静,对公转账
ORD-202500421,2024-08-20,2024-08-24,自提,华南,福州,C01116,赵洋,教育机构,办公用品,文件夹,471.23,27,0.15,10814.73,1160.42,0.1073,吴敏,信用卡
ORD-202500949,2024-08-20,2024-08-27,京东物流,西北,兰州,C01106,徐磊静,政府机构,服装鞋帽,帽子,963.23,38,0.25,27452.06,4334.68,0.1579,郑丽,微信支付
ORD-202500157,2024-08-21,2024-08-22,顺丰速运,西北,乌鲁木齐,C01154,周杰,教育机构,办公用品,打印纸,340.8,23,0.25,5878.8,1312.15,0.2232,李华,银行卡
ORD-202500292,2024-08-21,2024-08-27,顺丰速运,西北,银川,C01191,王杰强,企业客户,家居用品,台灯,2938.75,18,0.25,39673.12,987.86,0.0249,李华,货到付款
ORD-202500664,2024-08-21,2024-08-25,顺丰速运,西南,成都,C01012,吴强,个人消费者,电子产品,智能手机,4543.01,9,0.05,38842.74,3293.86,0.0848,周伟,信用卡
ORD-202500190,2024-08-22,2024-08-25,标准快递,东北,大连,C01010,马伟娟,个人消费者,办公用品,笔记本,209.63,36,0.05,7169.35,2315.7,0.323,李华,对公转账
ORD-202400603,2024-08-23,2024-08-30,标准快递,华东,南京,C01057,杨洋,教育机构,家居用品,台灯,734.24,27,0.05,18833.26,1299.49,0.069,郑丽,信用卡
ORD-202500165,2024-08-23,2024-08-28,京东物流,东北,大连,C01156,徐超丽,企业客户,服装鞋帽,运动鞋,1564.07,27,0.3,29560.92,5903.32,0.1997,陈静,银行卡
ORD-202500623,2024-08-24,2024-08-27,专线物流,东北,大连,C01172,王娟,企业客户,食品饮料,茶叶,62.16,42,0,2610.72,698.37,0.2675,周伟,银行卡
ORD-202500992,2024-08-24,2024-08-31,顺丰速运,华中,南昌,C01058,胡伟娜,个人消费者,食品饮料,茶叶,81.38,38,0,3092.44,541.18,0.175,张明,支付宝
ORD-202500172,2024-08-25,2024-08-28,京东物流,华中,郑州,C01110,刘强磊,教育机构,电子产品,耳机,4165.54,34,0.3,99139.85,12759.3,0.1287,周伟,银行卡
ORD-202500572,2024-08-25,2024-09-01,自提,华东,合肥,C01121,周强,教育机构,电子产品,耳机,5254.24,48,0,252203.52,7490.44,0.0297,赵强,微信支付
ORD-202500744,2024-08-25,2024-08-26,标准快递,华南,东莞,C01103,张娟,企业客户,办公用品,白板,465.65,13,0.1,5448.1,1700.35,0.3121,孙磊,信用卡
ORD-202400266,2024-08-26,2024-08-31,顺丰速运,华南,广州,C01088,陈涛勇,企业客户,服装鞋帽,裤子,51.33,40,0.05,1950.54,512.8,0.2629,张明,银行卡
ORD-202500490,2024-08-26,2024-08-28,京东物流,东北,大连,C01196,刘勇勇,教育机构,服装鞋帽,外套,679.75,49,0.15,28311.59,-2584.85,-0.0913,张明,信用卡
ORD-202500898,2024-08-26,2024-08-31,京东物流,华北,石家庄,C01110,刘强磊,教育机构,办公用品,碎纸机,377.45,18,0,6794.1,-583.61,-0.0859,陈静,银行卡
ORD-202400251,2024-08-27,2024-08-28,标准快递,华南,深圳,C01105,徐丽芳,政府机构,服装鞋帽,T恤,353.05,11,0.2,3106.84,340.82,0.1097,陈静,对公转账
ORD-202400903,2024-08-27,2024-09-01,标准快递,华中,南昌,C01180,刘丽,个人消费者,服装鞋帽,背包,208.67,28,0.2,4674.21,1608.4,0.3441,周伟,货到付款
ORD-202500235,2024-08-27,2024-09-03,专线物流,西南,成都,C01042,胡勇,企业客户,食品饮料,坚果零食,155.49,37,0.15,4890.16,816.17,0.1669,刘洋,微信支付
ORD-202400994,2024-08-28,2024-08-31,京东物流,华东,杭州,C01090,胡磊,政府机构,电子产品,平板电脑,4489.08,9,0,40401.72,-2957.41,-0.0732,刘洋,微信支付
ORD-202500266,2024-08-28,2024-09-01,标准快递,西南,重庆,C01055,张杰,个人消费者,食品饮料,饼干,189.92,8,0,1519.36,118.66,0.0781,刘洋,对公转账
ORD-202500377,2024-08-28,2024-08-31,顺丰速运,西南,昆明,C01149,刘芳,政府机构,电子产品,充电器,1119.22,45,0.05,47846.65,12344.44,0.258,孙磊,支付宝
ORD-202400136,2024-08-29,2024-09-02,顺丰速运,东北,哈尔滨,C01093,朱伟丽,企业客户,办公用品,笔记本,293.32,37,0,10852.84,192.1,0.0177,李华,支付宝
ORD-202400689,2024-08-29,2024-08-30,顺丰速运,西南,南宁,C01024,胡艳磊,企业客户,电子产品,耳机,5330.53,38,0.25,151920.1,2020.54,0.0133,李华,对公转账
ORD-202500779,2024-08-29,2024-09-01,自提,东北,沈阳,C01076,胡杰,政府机构,电子产品,移动电源,2945.58,26,0.1,68926.57,-4156.27,-0.0603,陈静,支付宝
ORD-202500803,2024-08-29,2024-09-03,顺丰速运,西南,重庆,C01139,徐磊娜,企业客户,家居用品,收纳盒,995.55,24,0.05,22698.54,5792.67,0.2552,孙磊,银行卡
ORD-202400929,2024-08-30,2024-08-31,京东物流,华南,深圳,C01152,孙涛,个人消费者,办公用品,碎纸机,417.15,9,0.3,2628.04,390.0,0.1484,王芳,银行卡
ORD-202500124,2024-08-30,2024-08-31,标准快递,华南,福州,C01030,王敏,教育机构,食品饮料,乳制品,194.74,5,0,973.7,170.79,0.1754,李华,货到付款
ORD-202500560,2024-08-30,2024-09-01,标准快递,华东,合肥,C01158,黄磊丽,政府机构,服装鞋帽,外套,1536.58,11,0.15,14367.02,-123.56,-0.0086,李华,微信支付
ORD-202400518,2024-08-31,2024-09-02,京东物流,西南,贵阳,C01141,黄静静,政府机构,食品饮料,坚果零食,90.05,39,0.3,2458.36,-238.46,-0.097,孙磊,对公转账
ORD-202500649,2024-08-31,2024-09-01,专线物流,华中,长沙,C01104,陈磊芳,政府机构,服装鞋帽,围巾,807.46,34,0.1,24708.28,1356.48,0.0549,郑丽,信用卡
ORD-202400461,2024-09-01,2024-09-04,专线物流,西北,西安,C01040,胡勇,政府机构,服装鞋帽,背包,805.61,34,0.2,21912.59,5359.82,0.2446,陈静,银行卡
ORD-202400614,2024-09-01,2024-09-06,顺丰速运,华东,宁波,C01195,黄芳洋,教育机构,食品饮料,果汁,188.01,38,0.05,6787.16,1621.45,0.2389,陈静,银行卡
ORD-202500014,2024-09-01,2024-09-03,京东物流,西南,南宁,C01037,孙洋,企业客户,电子产品,笔记本电脑,4556.86,32,0,145819.52,38219.3,0.2621,李华,对公转账
ORD-202400005,2024-09-02,2024-09-08,自提,华南,东莞,C01030,王敏,教育机构,服装鞋帽,T恤,1126.89,6,0.05,6423.27,2225.66,0.3465,王芳,支付宝
ORD-202400854,2024-09-02,2024-09-09,专线物流,华南,东莞,C01106,徐磊静,政府机构,服装鞋帽,外套,1349.98,5,0.05,6412.4,1980.79,0.3089,陈静,支付宝
ORD-202500273,2024-09-02,2024-09-04,顺丰速运,华中,长沙,C01118,黄磊,个人消费者,办公用品,文件夹,150.03,2,0.05,285.06,45.58,0.1599,郑丽,货到付款
ORD-202500618,2024-09-02,2024-09-07,京东物流,西南,贵阳,C01162,黄强静,政府机构,办公用品,文件夹,361.79,27,0,9768.33,2411.8,0.2469,陈静,货到付款
ORD-202400685,2024-09-03,2024-09-05,京东物流,西北,乌鲁木齐,C01069,刘磊娜,教育机构,食品饮料,坚果零食,65.77,5,0.05,312.41,87.69,0.2807,王芳,货到付款
ORD-202500404,2024-09-03,2024-09-09,专线物流,东北,哈尔滨,C01037,孙洋,企业客户,家居用品,加湿器,2484.92,24,0.15,50692.37,-4050.32,-0.0799,郑丽,微信支付
ORD-202500800,2024-09-03,2024-09-09,自提,华东,苏州,C01166,徐娟洋,个人消费者,电子产品,耳机,6958.79,46,0.2,256083.47,85070.93,0.3322,李华,微信支付
ORD-202400192,2024-09-04,2024-09-07,专线物流,西北,兰州,C01103,张娟,企业客户,食品饮料,乳制品,77.27,29,0.3,1568.58,181.48,0.1157,周伟,对公转账
ORD-202500410,2024-09-04,2024-09-08,顺丰速运,西南,昆明,C01129,李强,企业客户,食品饮料,果汁,31.12,39,0,1213.68,240.67,0.1983,陈静,微信支付
ORD-202400243,2024-09-05,2024-09-09,顺丰速运,华北,济南,C01063,周超,个人消费者,食品饮料,乳制品,155.85,47,0.25,5493.71,1330.58,0.2422,周伟,支付宝
ORD-202500259,2024-09-06,2024-09-12,顺丰速运,东北,沈阳,C01177,徐丽涛,个人消费者,办公用品,订书机,239.09,49,0.15,9958.1,236.01,0.0237,孙磊,银行卡
ORD-202500567,2024-09-06,2024-09-12,标准快递,西北,西安,C01098,徐勇磊,个人消费者,食品饮料,果汁,160.62,25,0.3,2810.85,155.44,0.0553,周伟,信用卡
ORD-202400239,2024-09-07,2024-09-08,自提,华中,郑州,C01183,赵芳勇,企业客户,食品饮料,咖啡,38.26,3,0.25,86.09,22.5,0.2614,陈静,微信支付
ORD-202500018,2024-09-07,2024-09-13,顺丰速运,东北,沈阳,C01019,朱涛,企业客户,家居用品,扫地机器人,342.74,25,0,8568.5,1341.83,0.1566,吴敏,信用卡
ORD-202500239,2024-09-07,2024-09-09,顺丰速运,西北,乌鲁木齐,C01101,孙涛静,个人消费者,电子产品,智能手表,1316.67,7,0.2,7373.35,1086.83,0.1474,周伟,信用卡
ORD-202500711,2024-09-07,2024-09-13,标准快递,华中,郑州,C01153,陈勇磊,个人消费者,食品饮料,果汁,141.46,17,0.1,2164.34,585.24,0.2704,周伟,货到付款
ORD-202400560,2024-09-08,2024-09-12,标准快递,西北,西安,C01137,朱洋,个人消费者,服装鞋帽,背包,1180.28,40,0,47211.2,14474.95,0.3066,吴敏,信用卡
ORD-202500310,2024-09-08,2024-09-11,标准快递,西南,南宁,C01198,吴敏,企业客户,办公用品,订书机,267.86,19,0,5089.34,-187.29,-0.0368,陈静,货到付款
ORD-202500374,2024-09-08,2024-09-10,自提,华中,长沙,C01113,刘勇杰,个人消费者,家居用品,台灯,911.48,2,0.3,1276.07,149.94,0.1175,孙磊,对公转账
ORD-202400851,2024-09-09,2024-09-14,京东物流,华北,济南,C01117,杨超,教育机构,食品饮料,坚果零食,94.15,3,0,282.45,8.36,0.0296,刘洋,货到付款
ORD-202500839,2024-09-09,2024-09-10,自提,华中,长沙,C01071,黄艳,个人消费者,办公用品,打印纸,484.54,19,0.1,8285.63,2788.11,0.3365,赵强,银行卡
ORD-202400139,2024-09-10,2024-09-16,标准快递,东北,沈阳,C01029,徐超勇,政府机构,服装鞋帽,裤子,1079.94,24,0,25918.56,8107.33,0.3128,孙磊,对公转账
ORD-202400448,2024-09-10,2024-09-16,京东物流,华东,杭州,C01175,陈娜,企业客户,食品饮料,果汁,154.89,34,0.05,5002.95,564.33,0.1128,王芳,银行卡
ORD-202400225,2024-09-11,2024-09-16,京东物流,西南,南宁,C01169,周勇静,政府机构,服装鞋帽,外套,1568.99,45,0,70604.55,19882.24,0.2816,孙磊,微信支付
ORD-202400240,2024-09-11,2024-09-15,顺丰速运,西北,乌鲁木齐,C01014,朱强,教育机构,办公用品,碎纸机,43.55,24,0,1045.2,131.59,0.1259,孙磊,微信支付
ORD-202400453,2024-09-11,2024-09-13,顺丰速运,华中,武汉,C01166,徐娟洋,个人消费者,服装鞋帽,外套,1865.16,49,0,91392.84,-6680.82,-0.0731,孙磊,货到付款
ORD-202500297,2024-09-11,2024-09-14,自提,华北,青岛,C01047,赵勇娜,企业客户,服装鞋帽,帽子,652.17,29,0,18912.93,6426.61,0.3398,陈静,支付宝
ORD-202500385,2024-09-11,2024-09-16,自提,东北,大连,C01025,李勇,个人消费者,家居用品,台灯,1958.74,32,0,62679.68,3090.11,0.0493,周伟,对公转账
ORD-202500479,2024-09-11,2024-09-18,自提,华中,南昌,C01167,王敏强,企业客户,电子产品,平板电脑,2124.85,10,0.1,19123.65,-1694.36,-0.0886,陈静,支付宝
ORD-202500272,2024-09-12,2024-09-14,顺丰速运,西南,贵阳,C01050,杨磊,个人消费者,电子产品,平板电脑,230.62,39,0.15,7645.05,1134.53,0.1484,陈静,信用卡
ORD-202400456,2024-09-13,2024-09-14,京东物流,华中,南昌,C01140,张敏磊,企业客户,服装鞋帽,外套,1108.33,32,0.05,33693.23,5222.45,0.155,吴敏,银行卡
ORD-202500454,2024-09-13,2024-09-20,标准快递,华北,青岛,C01042,胡勇,企业客户,家居用品,电风扇,50.74,44,0.1,2009.3,53.65,0.0267,李华,支付宝
ORD-202400869,2024-09-14,2024-09-15,京东物流,西南,昆明,C01163,刘超艳,个人消费者,食品饮料,果汁,185.14,50,0,9257.0,457.3,0.0494,吴敏,货到付款
ORD-202500296,2024-09-14,2024-09-21,京东物流,华中,合肥,C01073,胡静,企业客户,办公用品,签字笔,317.41,22,0.25,5237.27,615.38,0.1175,孙磊,银行卡
ORD-202500355,2024-09-14,2024-09-20,自提,西南,昆明,C01183,赵芳勇,企业客户,食品饮料,果汁,167.75,23,0,3858.25,-363.45,-0.0942,郑丽,微信支付
ORD-202500550,2024-09-14,2024-09-20,顺丰速运,华北,石家庄,C01145,赵强,企业客户,办公用品,订书机,259.19,21,0.1,4898.69,1509.78,0.3082,刘洋,银行卡
ORD-202500024,2024-09-15,2024-09-21,自提,华南,广州,C01116,赵洋,教育机构,家居用品,台灯,843.5,6,0.1,4554.9,1335.5,0.2932,赵强,对公转账
